year,week_of_year,store,item,item_price,prediction
2021,3,chiba,apple_juice,120,176.3951391764142
2021,3,chiba,beer,200,116.59320589717112
2021,3,chiba,coffee,200,301.2884381336572
2021,3,chiba,fruit_juice,150,86.19719460980836
2021,3,chiba,milk,130,317.5185180887729
2021,3,chiba,mineral_water,100,376.24593470242917
2021,3,chiba,orange_juice,120,144.52913039015897
2021,3,chiba,soy_milk,120,146.09686539103265
2021,3,chiba,sparkling_water,120,95.31428817090183
2021,3,chiba,sports_drink,130,242.92171526357424
2021,3,ginza,apple_juice,120,314.5738179713869
2021,3,ginza,beer,200,185.38604208102151
2021,3,ginza,coffee,200,488.17076848014955
2021,3,ginza,fruit_juice,150,130.53761934003242
2021,3,ginza,milk,130,521.8539618261116
2021,3,ginza,mineral_water,100,580.2547059791085
2021,3,ginza,orange_juice,120,221.6167752349913
2021,3,ginza,soy_milk,120,290.27131555288673
2021,3,ginza,sparkling_water,120,138.06506426051033
2021,3,ginza,sports_drink,130,341.8544328728678
2021,3,kobe,apple_juice,120,179.6304309895356
2021,3,kobe,beer,200,115.43573862019257
2021,3,kobe,coffee,200,327.3500478634223
2021,3,kobe,fruit_juice,150,97.6454374741388
2021,3,kobe,milk,130,373.7255563085992
2021,3,kobe,mineral_water,100,401.6711328259455
2021,3,kobe,orange_juice,120,158.3372485787555
2021,3,kobe,soy_milk,120,178.0421422753174
2021,3,kobe,sparkling_water,120,97.72246055128798
2021,3,kobe,sports_drink,130,228.02379799075348
2021,3,morioka,apple_juice,120,113.87255126770697
2021,3,morioka,beer,200,81.34671697981949
2021,3,morioka,coffee,200,190.96027785258943
2021,3,morioka,fruit_juice,150,79.41019667749164
2021,3,morioka,milk,130,224.57964103981942
2021,3,morioka,mineral_water,100,262.025608931047
2021,3,morioka,orange_juice,120,91.34798145757173
2021,3,morioka,soy_milk,120,119.55414291935035
2021,3,morioka,sparkling_water,120,78.34980958383228
2021,3,morioka,sports_drink,130,138.4579880144113
2021,3,nagoya,apple_juice,120,216.73092219727667
2021,3,nagoya,beer,200,144.47162812204982
2021,3,nagoya,coffee,200,347.3617421935699
2021,3,nagoya,fruit_juice,150,108.71981519970531
2021,3,nagoya,milk,130,420.4621381499968
2021,3,nagoya,mineral_water,100,437.79887988099637
2021,3,nagoya,orange_juice,120,170.41649859635208
2021,3,nagoya,soy_milk,120,190.66745554723792
2021,3,nagoya,sparkling_water,120,108.53969371029243
2021,3,nagoya,sports_drink,130,242.92171526357424
2021,3,osaka,apple_juice,120,282.4963241455648
2021,3,osaka,beer,200,170.75352812356886
2021,3,osaka,coffee,200,438.20329906869205
2021,3,osaka,fruit_juice,150,121.4622878205846
2021,3,osaka,milk,130,485.32421787327297
2021,3,osaka,mineral_water,100,539.2261282552728
2021,3,osaka,orange_juice,120,225.87115126052072
2021,3,osaka,soy_milk,120,250.49358125352921
2021,3,osaka,sparkling_water,120,132.28141098213092
2021,3,osaka,sports_drink,130,343.2273792855604
2021,3,sendai,apple_juice,120,173.83280077882216
2021,3,sendai,beer,200,113.22632712634136
2021,3,sendai,coffee,200,291.095281888153
2021,3,sendai,fruit_juice,150,87.37241983963852
2021,3,sendai,milk,130,332.88260906850905
2021,3,sendai,mineral_water,100,357.4699846479368
2021,3,sendai,orange_juice,120,127.85144051729155
2021,3,sendai,soy_milk,120,178.4090483177084
2021,3,sendai,sparkling_water,120,90.52018181210062
2021,3,sendai,sports_drink,130,220.54067125575412
2021,3,shinjuku,apple_juice,120,306.2448861134754
2021,3,shinjuku,beer,200,187.56920489862569
2021,3,shinjuku,coffee,200,489.33334750308734
2021,3,shinjuku,fruit_juice,150,141.67283882910752
2021,3,shinjuku,milk,130,547.6610648247544
2021,3,shinjuku,mineral_water,100,601.1154515380305
2021,3,shinjuku,orange_juice,120,253.29064130061323
2021,3,shinjuku,soy_milk,120,294.18312511806346
2021,3,shinjuku,sparkling_water,120,135.38001631985097
2021,3,shinjuku,sports_drink,130,376.51354611986653
2021,3,ueno,apple_juice,120,285.2612663564368
2021,3,ueno,beer,200,179.54818448487134
2021,3,ueno,coffee,200,417.72383922880874
2021,3,ueno,fruit_juice,150,125.79438185321307
2021,3,ueno,milk,130,479.68808473098073
2021,3,ueno,mineral_water,100,553.0052621411005
2021,3,ueno,orange_juice,120,202.13590152440477
2021,3,ueno,soy_milk,120,220.17457400737965
2021,3,ueno,sparkling_water,120,132.602804423367
2021,3,ueno,sports_drink,130,325.3067708289355
2021,3,yokohama,apple_juice,120,260.446102689251
2021,3,yokohama,beer,200,170.34693867530532
2021,3,yokohama,coffee,200,390.84421633477365
2021,3,yokohama,fruit_juice,150,123.80343622641277
2021,3,yokohama,milk,130,460.43202994294916
2021,3,yokohama,mineral_water,100,513.9884909527906
2021,3,yokohama,orange_juice,120,191.71063648395508
2021,3,yokohama,soy_milk,120,237.50368646591292
2021,3,yokohama,sparkling_water,120,127.1601676233825
2021,3,yokohama,sports_drink,130,321.62404796438807
